time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,5232423634.259645
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,14471140272.737091
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,88037515.43008496
YR1960,BFA,
YR1960,BGD,803974740.1649026
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,905171093.5552243
YR1960,BRA,6077811395.104421
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,2676624885.770513
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,770199937.486075
YR1960,COD,1039999280.3495007
YR1960,COG,198841621.28059196
YR1960,COL,3055853054.4201474
YR1960,COM,
YR1960,CPV,
YR1960,CRI,412942154.06249064
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,2171996696.925589
YR1960,DZA,24114192359.06317
YR1960,ECU,811227155.1950061
YR1960,EGY,1753804656.7064795
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,35399272960.03353
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,504385717.5875673
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,1971215698.6325371
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,1404898830.9667034
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,
YR1960,HND,1105353771.7523787
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,9313082276.839308
YR1960,IMN,
YR1960,IND,5166800062.52869
YR1960,IRL,
YR1960,IRN,22506445402.432114
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,1416220221.197897
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,155062402.89261222
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,2194237520.627805
YR1960,LSO,442451.6958451631
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,3359295985.933483
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,618643688.511401
YR1960,MDV,
YR1960,MEX,6210089217.430246
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,4128120278.079243
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,
YR1960,NIC,304388147.5171523
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,1688032176.0707564
YR1960,PAN,1549446413.4538715
YR1960,PER,4786828267.954548
YR1960,PHL,3186616325.6732607
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,67394209.11259057
YR1960,SAU,
YR1960,SDN,1994946751.6476812
YR1960,SEN,1012601639.5635247
YR1960,SGP,3728906022.694209
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,13747205536.085495
YR1960,SWZ,82450886.46333675
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,
YR1960,TGO,122769855.08087818
YR1960,THA,1866819689.4967408
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,830599639.6095042
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,21445893377.683853
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,4675767446.100189
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,15192483532.272446
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,
YR1961,BEN,68934916.8547609
YR1961,BFA,
YR1961,BGD,711508755.8780416
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
