time,economy,value
YR1960,ABW,
YR1960,AFG,466666655.5555556
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,10723485272.70691
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,180250010.0
YR1960,BEL,
YR1960,BEN,190937435.53602827
YR1960,BFA,291246354.0258349
YR1960,BGD,3686015436.891012
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,314112088.68261576
YR1960,BRA,
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,27948408.804149725
YR1960,CAF,80752040.31401932
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,3230180539.2731547
YR1960,CHN,30128361361.605328
YR1960,CIV,343952403.6165486
YR1960,CMR,
YR1960,COD,
YR1960,COG,127610032.26226842
YR1960,COL,2943982245.666918
YR1960,COM,
YR1960,CPV,
YR1960,CRI,390983446.5873002
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,471500100.0
YR1960,DZA,1527097587.6526706
YR1960,ECU,1368324229.5600512
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,35611510587.557045
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,54277883934.76872
YR1960,GEO,
YR1960,GHA,886658934.6645825
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,3205073922.6668744
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,876000000.0
YR1960,GUM,
YR1960,GUY,116607361.60531996
YR1960,HKG,933506626.0811462
YR1960,HND,257500000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,32358165147.695255
YR1960,IRL,
YR1960,IRN,3436647872.639789
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,483281254.3749125
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,568903645.9526979
YR1960,KGZ,
YR1960,KHM,439999985.71428573
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,3369832458.8751173
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,1086082584.0336134
YR1960,LSO,37379252.4149517
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,1569259203.6360042
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,574593826.5193781
YR1960,MDV,
YR1960,MEX,10068640000.0
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,1187116163.5959754
YR1960,NAM,
YR1960,NCL,
YR1960,NER,384647341.9008339
YR1960,NGA,
YR1960,NIC,
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,3083578328.4334316
YR1960,PAN,373855500.0
YR1960,PER,1347408923.4725273
YR1960,PHL,
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,1398000000.0
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,96999946.0
YR1960,SAU,
YR1960,SDN,998666666.6666667
YR1960,SEN,806463076.6810716
YR1960,SGP,630243041.9443356
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,155847919.74083212
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,8833664055.383867
YR1960,SWZ,19039619.207615845
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,666011815.6424581
YR1960,TCA,
YR1960,TCD,214356766.91744655
YR1960,TGO,94376590.72306095
YR1960,THA,1856688289.0028234
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,7891491985.203453
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,317083857.442348
YR1960,UKR,
YR1960,URY,925291295.4078137
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,4880818181.818182
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,4685798127.648785
YR1960,ZMB,
YR1960,ZWE,817397900.0
YR1961,ABW,
YR1961,AFG,477777737.7777778
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,11405532534.438347
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,187249992.0
YR1961,BEL,
YR1961,BEN,198226228.3999721
YR1961,BFA,305060656.8292193
YR1961,BGD,4183359833.7986
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,351758793.9698492
YR1961,BRA,9760602842.816032
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,29786903.59591437
YR1961,CAF,84807957.75586817
YR1961,CAN,25959783326.95225
YR1961,CHE,
YR1961,CHI,
YR1961,CHL,3615811958.0273633
YR1961,CHN,33174912665.529285
YR1961,CIV,395059155.973597
YR1961,CMR,
YR1961,COD,
YR1961,COG,130359302.58799331
YR1961,COL,3363767970.149254
YR1961,COM,
YR1961,CPV,
YR1961,CRI,361353821.4321583
YR1961,CUB,
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,
YR1961,CZE,
YR1961,DEU,
YR1961,DJI,
YR1961,DMA,
YR1961,DNK,
YR1961,DOM,483100200.0
YR1961,DZA,1187742520.9130867
YR1961,ECU,1157966150.626837
YR1961,EGY,
YR1961,ERI,
YR1961,ESP,
YR1961,EST,
YR1961,ETH,
